BaseCourseNo,Slot,CourseName,NewCredit,OfferedforBTechDD,AllocationType,InstructorName,Prerequisite
HS5520,D ,Culture and Development,9,Yes,SI,JYOTIRMAYA TRIPATHY,
HS5554,D ,Gender in Indian Society,9,Yes,SI,KALPANA K,
HS5561,D ,Introduction to Cultural Anthropology,9,Yes,SI,MATHANGI KRISHNAMURTHY,
HS5656,D ,Indian Writing in English,9,Yes,SI,UMASANKAR PATRA,
HS5662,D ,Film Theory & Practice,9,Yes,SI,AYSHA IQBAL,
HS5760,D ,Climate Economics,9,Yes,SI,Santosh Kumar Sahu,
HS6140,D ,Production Economics: Efficiency and Productivity Analysis,12,Yes,ST,Anup Kumar Bhandari,Course #HS1050/#HS3002/ Consent of the Teacher (CO
HS6520,D ,Culture and Development,9,Yes,SI,JYOTIRMAYA TRIPATHY,
HS6560,D ,Introduction to Contemporary Tibet,10,Yes,SI,SONIKA GUPTA,
ID6105,D ,"Computational Tools: Algorithms, Data Structures and Programs",9,Yes,SI,KANNABIRAN SESHASAYANAN,Introduction to Computing or equivalent
ID6105,D ,"Computational Tools: Algorithms, Data Structures and Programs",9,Yes,ST,PRASAD PATNAIK B S V,Introduction to Computing or equivalent
MA2040,D ,"Probability, Statistics and Stochastic Process",9,No,,SRINIVASA RAO MANAM,
MA5314,D ,Differential geometry of manifolds,9,Yes,SI,SUHAS JAYKUMAR PANDIT,"MA5310, MA5370, MA5380"
MA5320,D ,Algebra I,9,Yes,SI,ANUJ JAKHAR; G. ARUNKUMAR,
MA5350,D ,Combinatorics,9,Yes,SI,KALPANA M,
MA5430,D ,Algebra II Ring Theory & Field Theory,9,Yes,SI,SARANG SHARAD SANE; UMA V,MA5320 Algebra I
MA5741,D ,Object Oriented  Programming,7,Yes,SI,NEELESH S UPADHYE; SAURAV SAMANTARAY,
MA6312,D ,Mathematical Theory of Games,9,Yes,SI,SHAIJU A J,
MA7830,D ,Advanced Algebra (for Ph.D Scholars),12,No,,ARIJIT DEV,
MD1005,D ,Mathematical Modelling in Physiology and Medicine,9,No,,SRINIVASA CHAKRAVARTHY V,
MD2001,D ,Software Skills for Medical Scientists,12,No,,BOBY  GEORGE,
MD2001,D ,Software Skills for Medical Scientists,12,Yes,SI,BOBY  GEORGE,
MD2009,D ,Statistics for Clinical Research,9,No,,PRADEEBA SRIDAR,
MD2009,D ,Statistics for Clinical Research,9,Yes,SI,PRADEEBA SRIDAR,
MD5005,D ,Cardiovascular & Respiratory Mechanics & Hemodynamics,15,No,,KRISHNAKUMAR R,
MD5010,D ,Mechanical Design for Biomedical Devices,9,No,,SRIKANTH VEDANTAM,
MD5013,D ,Foundations of Mathematics for Clinicians,12,No,,KRISHNAKUMAR R,
MD5014,D ,Introduction to Python Programming for Clinicians,12,No,,PRADEEBA SRIDAR,
ME2100,D ,Applied Thermal Engineering,10,Yes,CG,BABU VISWANATHAN; KRITHIKA NARAYANASWAMY; RAGHAVAN V,"ME1100, AM2530"
ME4010,D ,Control Systems,10,Yes,CG,MANISH ANAND,
ME5105,D ,Applied Thermodynamics,9,No,,RAGHAVAN V,
ME5129,D ,Principles of Thermal Energy Conversion,9,Yes,CG,KRITHIKA NARAYANASWAMY,
ME5203,D ,Advanced Mechanics of Solids,9,No,,RAJU SETHURAMAN,COT
ME5300,D ,Metrology and  Computer Aided Inspection,9,Yes,CG,ARUNACHALAM N,NIL
ME5301,D ,Advanced Materials Processing and Characterization ,9,No,,SUSHANTA KUMAR PANIGRAHI,NIL
ME5304,D ,Manufacturing Metrology,9,Yes,CG,ARUNACHALAM N,
ME5306,D ,Introduction to Autonomous Vehicles,9,No,,MANIVANNAN P V,Nil
ME6005,D ,Solar Energy For Process Heat & Power Generation,9,Yes,CG,SRINIVAS REDDY K,
ME6030,D ,Linear Algebra with applications in Mechanical Engineering,10,Yes,CG,ABHIJIT SARKAR,Students registered for the Ph.D. programme in Mechanical Engineering. With COT for students registered for the MS programme in Mechanical Engineering.
ME6148,D ,Renewable Energy Technology,9,Yes,CG,SRINIVAS REDDY K,ME2100
ME6151,D ,Computational Heat & Fluid Flow,9,Yes,CG,KAMESWARARAO ANUPINDI,
ME6226,D ,Product Reliability,9,Yes,CG,SHANKAR KRISHNAPILLAI,COT
ME7223,D ,Optimization Methods for Mechanical Design,9,Yes,CG,SHANKAR KRISHNAPILLAI,COT
ME7227,D ,Nonlinear Finite Element Analysis of Solid Continua,9,No,,RAJU SETHURAMAN,ME6800 and ME7660 or Equivalent (COT)
ME7234,D ,Introduction to Fracture Mechanics,9,Yes,CG,RAGHU PRAKASH V,COT
MM2015,D ,Thermodynamics of Materials,10,No,,SURENDRA BABU ANANTHARAMAN,
MM2020,D ,Deformation and Failure of Materials,9,No,,GANESH SUNDARA RAMAN,No
MM2020,D ,Deformation and Failure of Materials,12,No,,RAVIKUMAR N V,
MM5140,D ,Metallurgical Failure Analysis,9,No,,KAMARAJ M,
MM5330,D ,Surface Degradation Process,9,Yes,ST,GANESH SUNDARA RAMAN,NIL
MM5565,D ,Machine Learning in Materials Science,9,Yes,ST,ROHIT BATRA,
MM5566,D ,Finite Element Method in Materials Engineering,9,No,,KANJARLA ANAND KRISHNA,
MM5610,D ,Metal Forming Processes,9,No,,UDAY CHAKKINGAL,COT
MM5740,D ,Welding Metallurgy,9,No,,RAVI SANKAR K,COT
MM5740,D ,Welding Metallurgy,9,Yes,ST,RAVI SANKAR K,COT
OE1011,D ,Structural mechanics,9,Yes,SI,Srinivasan Chandrasekaran,
OE2014,D ,Marine Engineering ,10,Yes,SI,ABDUS SAMAD,
OE3045,D ,Vibration of Marine Structures,9,Yes,SI,NARENDRAN K,nothing
OE4600,D ,Advanced Ship Hydrodynamics,9,Yes,SI,ANANTHAKRISHNAN P,
OE5320,D ,Nonlinear Problems in Ocean Engineering,9,Yes,SI,DEEPAK KUMAR,
OE5340,D ,Ocean Environment Policy &  Coastal Zone Mgmt.,9,Yes,SI,SHANMUGAM P,NIL
OE5400,D ,Port and  Harbour Structures,9,Yes,SI,NILANJAN SAHA,CoT for non OE students
OE5525,D ,Basics of Ocean Engineering,9,Yes,SI,SHANMUGAM P; SRIRAM V,Nil
PE5050,D ,Offshore Drilling And Production Practices,9,No,,VIJAY K G,
PE6020,D ,Drilling Technology,9,No,,BARASHA DEKA,
PE6031,D ,Reservoir Simulation,9,No,,SURESH KUMAR G,Reservoir Engineering
PH1010,D ,Physics I,10,No,,ARAVIND G; ATHREYA SHANKAR; Abhishek Misra; IPSITA SAHA; MAHAVEER KUMAR JAIN; PRASANTA KUMAR MUDULI; Panchanana Khuntia; RAGHUVEER GARANI RAMESH; RAHUL VAIJANATH SAWANT; RAJESH NARAYANAN; RAVICHANDRAN SHIVANNA; SETHUPATHI K; SHANTANU MUKHERJEE; SIDDHARTH DATTATRAYA DHOMKAR; TITAS CHANDA,
PH1020,D ,Physics II,10,Yes,SI,GANESAN A R; PRASANTA KUMAR MUDULI; Panchanana Khuntia; RAVICHANDRAN SHIVANNA; Vidya Praveen Bhallamudi,
PH5030,D ,Classical Mechanics,10,Yes,SI,YASIR,
PH5210,D ,Condensed Matter Physics II,9,Yes,SI,RANJIT KUMAR NANDA,
PH6011,D ,Nanomaterials and Nanotechnology,9,Yes,SI,RAMACHANDRA  RAO MS,
CS5410,D1,Security in Cyber Physical Systems,12,No,,RUPESH NASRE,
CS6630,D1,Secure Processor Microarchitecture,12,No,,Chester Rebeiro,CS2600/CS6600 or equivalent
DA1001,D1,Applied Linear Algebra,10,No,,LAKSHMI NARASIMHAN THEAGARAJAN,
DA1001,D1,Applied Linear Algebra,10,Yes,CG,LAKSHMI NARASIMHAN THEAGARAJAN,
MM1002,D1,Structure of Materials,9,No,,BHUVANESH SRINIVASAN,
PH1010,D1,Physics I,10,No,,ARAVIND G; Abhishek Misra; IPSITA SAHA; Jatindra; PRASANTA KUMAR MUDULI; Panchanana Khuntia; RAVICHANDRAN SHIVANNA; SIDDHARTH DATTATRAYA DHOMKAR,
MD1003,D2,Mathematical Foundations for Medical Scientists,9,Yes,SI,SRIKANTH VEDANTAM; SRINIVASA CHAKRAVARTHY V,
ME1480,D2,Engineering Drawing,7,No,,RAMKUMAR P; VIMAL EDACHERY; VISHAL NANDIGANA,
ME1480,D2,Engineering Drawing,7,Yes,CG,CHARCHIT KUMAR; RAMKUMAR P; VIMAL EDACHERY; VISHAL NANDIGANA,
AM1100,E ,Engineering Mechanics,10,No,,ABHIJIT CHAUDHURI; ANURADHA BANERJEE; BABURAJ A P; Ilaksh; KANNABIRAN SESHASAYANAN; KUNDANATI LAKSHMINATH; LAKSHMANA RAO C; RINKU MUKHERJEE; S GANGA PRASATH; SARITH P SATHIAN; SAYAN GUPTA; SIVAKUMAR M S; SUJATHA N,
AM5010,E ,Biomechanics,9,Yes,SI,SAUMENDRA KUMAR BAJPAI,COT
AM5011,E ,Virtual Reality Engineering,9,No,,MANIVANNAN M,
AM5030,E ,Linear Dynamical Systems,9,Yes,ST,SHAIKH FARUQUE ALI,
AM5160,E ,Biomedical Imaging System,9,Yes,SI,ARUN KUMAR THITTAI,
AM5190,E ,Haptics in Biomedical Engineering ,9,Yes,SI,MANIVANNAN M,
AM5340,E ,Stochastic Processes in Mechanics,9,Yes,SI,GANESH TAMADAPU,
AM5440,E ,Engg Fracture Mechanics,9,Yes,ST,RAMESH K,"AM2200 Strength of Materials or equivalent, Theory of Elasticity (Desirable)."
AM5630,E ,Foundation of Computational Fluid Dynamics,9,Yes,SI,DANNY RAJ M; VENGADESAN S; Vagesh D Narasimhamurthy,
AM5630,E ,Foundation of Computational Fluid Dynamics,9,Yes,ST,ARUL PRAKASH K,
AM6024,E ,Reduced Models in Dynamical Systems,9,Yes,SI,SHAIKH FARUQUE ALI,"AM5030/CE5620, ME5205"
AS2040,E ,Flight Dynamics I,12,Yes,CG,JOEL GEORGE M,
AS2040*,E ,Flight Dynamics I,12,Yes,CG,Devaprakash Muniraj,
AS2070*,E ,Aerospace Structural Mechanics,10,Yes,CG,SHANTANU SHASHIKANT MULAY,AS2010: Basic Strength of Materials
AS2080,E ,Vibrations,10,Yes,CG,DAVID KUMAR,
AS3020,E ,Aerospace Structures,11,Yes,CG,SRIRAM P,
AS3020*,E ,Aerospace Structures,11,Yes,CG,NIDISH NARAYANA BALAJI,
AS5011*,E ,Compressible Fluid Flows,9,No,,SRIRAM RENGARAJAN,
AS5020,E ,Aerospace Propulsion,9,No,,SUJITH R I,
AS5020*,E ,Aerospace Propulsion,9,No,,SUJITH R I,
AS5030,E ,Aerospace Structures,12,No,,VELMURUGAN R,
AS5430,E ,Stability of Shear Flows,9,Yes,CG,Manikandan M S,
AS5670,E ,Transport Processes  in Reacting flows,9,Yes,CG,PRAVENDRA KUMAR,
AS5830,E ,Approx. Methods in Structural Analysis,9,Yes,CG,BHASKAR K,
AS6120,E ,Compressible turbulent flows,9,Yes,CG,SAMEEN A,"AS6020 or a similar course on introduction to turbulence and
AS5011/AS2030 or a similar course on gas dynamics"
BT2030,E ,Biochemistry,12,Yes,ST,AMAL KANTI,
BT2082,E ,Cell Biology,9,Yes,ST,Nathiya,
BT5240,E ,Computational Systems Biology,12,Yes,ST,KARTHIK RAMAN,
BT5340,E ,Protein Folding and Stability,9,Yes,ST,ATHI NARAYANAN N,Basic knowledge of protein structures and chemistry
BT5441,E ,Elements of Biopharmaceutical Manufacturing,9,Yes,ST,MEIYAPPAN LAKSHMANAN,
BT5460,E ,Biotechnology for Biofuels,9,Yes,ST,CHANDRARAJ K,COT
BT6230,E ,Vascular Biology ,9,Yes,ST,MADHULIKA DIXIT,NIL
BT6310,E ,Cancer Biology ,9,Yes,ST,KARUNAGARAN D,BT2082; BT3012
BT7210,E ,Protein Structure and Functions ,9,Yes,ST,SANJIB SENAPATI,COT
BT7230,E ,Advanced Molecular and Cellular Biology ,9,Yes,ST,MAHALINGAM S,BT2082; BT3012; COT
CE3040,E ,Environmental Engineering,10,Yes,SI,Chandan; INDUMATHI MANIVANNAN NAMBI,
CE5015,E ,Environmental Monitoring and Data Analysis,9,Yes,SI,SHIVA NAGENDRA S M,
CE5027,E ,Mechanical Behaviour of Cement-Based Materials,9,Yes,SI,KEERTHANA KIRUPAKARAN,Nil
CE5105,E ,Environmental Toxicology and Risk Assessment,9,Yes,SI,Mathava Kumar S,
CE5111,E ,Geophysical Exploration Methods ,9,Yes,SI,ELANGO LAKSHMANAN,Nil
CE5120,E ,Maintenance and Rehabilitation of Constructed Facilities,9,Yes,SI,RADHAKRISHNA G  PILLAI,NIL
CE5360,E ,Soil Exploration and Field Tests,9,Yes,SI,VIDYA BHUSHAN MAJI,NIL
CE5390,E ,Analytical Tech. in Transportation Engg,9,Yes,SI,KARTHIK K SRINIVASAN,NIL
CE5690,E ,Theory and Design of Plates and Shells,9,Yes,SI,ALAGUSUNDARAMOORTHY P,NIL
CE5710,E ,Prestressed concrete structures,9,Yes,SI,AMLAN K SENGUPTA,CE3060 or equivalent
CE5830,E ,Traffic Engg & Management,9,Yes,SI,LELITHA DEVI,NIL
CE6050,E ,Lean construction project delivery,9,Yes,SI,KOSHY VARGHESE,NIL
CE6070,E ,Construction Project Modelling,9,Yes,SI,KOSHY VARGHESE,Postgraduate
CE6180,E ,Environmental Impact Assessment,9,Yes,SI,TANUSHREE PARSAI,B.Tech/DD-CE3040 :Environmental Engineering
CE6420,E ,Ground Improvement Techniques,9,Yes,SI,THYAGARAJ T,NIL
CE6480,E ,Contaminant Transport Modelling,9,Yes,SI,Venkatraman,NIL
CE6840,E ,Traffic Flow Theory,9,Yes,SI,Bhargava Rama Chilukuri,NIL
CH5000,E ,Membrane Science and Technology,9,Yes,SI,SANKHA KARMAKAR,
CH5011,E ,Colloids and Surfaces,9,Yes,SI,BASAVARAJA MADIVALA GURAPPA,
CH5041,E ,Theory and Applications of Stochastic Processes in Chemical Engineering,9,Yes,SI,ETHAYARAJA MANI,Programming skills & Introductory level probability theory
CH5120,E ,Modern Control Theory,9,Yes,SI,SRIDHARAKUMAR NARASIMHAN,NIL
CH5140,E ,Process Modelling Simulation and Analysis,9,Yes,SI,RENGANATHAN T,"Transport phenomena, Chemical reaction engineering, Numerical methods"
CH5370,E ,Environmental Quality Monitoring & Analysis,9,Yes,SI,RAVI KRISHNA R,
CH5600,E ,Introduction to Electrochemical Impedance Spectroscopy,9,Yes,SI,RAMANATHAN S,COT
CH6260,E ,Carbon Capture and Sequestration,9,Yes,SI,Swapna,
CS3100,E ,Paradigms of Programming,9,No,,KARTIK NAGAR,"cs2200, cs2600, cs2610, cs2700, cs2710"
CS3100,E ,Paradigms of Programming,9,Yes,CG,K C SIVARAMAKRISHNAN,"cs2200, cs2600, cs2610, cs2700, cs2710"
CS3205,E ,Introduction to Computer Networks,12,Yes,CG,Ayon Chakraborty,
CS6015,E ,Linear Algebra and Random Processes,12,No,,Akanksha Agrawal; HARISH GURUPRASAD RAMASWAMY,
CS6190,E ,Recent Dev. in Theoretical Computer Scie,12,Yes,CG,ANANTHA PADMANABHA MATIKURKE SHANKARA NARAYANA,NIL
CS6500,E ,Network Security,12,Yes,CG,MANIKANTAN SRINIVASAN,"CS2700, CS2710, CS3205, CS6530"
CV2030,E ,Measurement and Sensing ,12,Yes,SI,Atul Narayan S P; Chandan; SUBBARAO PICHUKA,Nil
CY1011,E ,Basic Concepts of Inorganic Chemistry,10,No,,ARNAB RIT; KARTIK CHANDRA MONDAL,
CY2010,E ,Kinetics and Catalysis,9,No,,Jithin John Varghese; RAGHURAM CHETTY,CY 1001
CY5016,E ,Kinetics and Reaction Dynamics,9,No,,Hema Chandra ; RAJAKUMAR B,COT
CY5019,E ,Organometallic Chemistry,9,No,,DEBASHIS CHAKRABORTY; DILLIP KUMAR CHAND; SUNDARGOPAL GHOSH,COT
CY6019,E ,Modern Synthetic Methodology in Organic Chemistry,9,No,,ANBARASAN P; BASKARAN S; DAWANDE SUDAM GANPAT; JEGANMOHAN M,COT
CY6023,E ,New Methods and Strategies in Organic Synthesis,9,No,,DAWANDE SUDAM GANPAT; INDRAPAL SINGH AIDHEN; MAHIUDDIN BAIDYA,COT
CY6127,E ,Chemical Processes at Surfaces and Interfaces,9,No,,RANGA RAO G,Nil
DA1302,E ,Computational Methods for Data Science,10,No,,Sivaram Ambikasaran,DA1000 and DA1001
DA2101,E ,Introduction to Computational Physics,9,Yes,SI,Sivaram Ambikasaran,DA1302
DA6401,E ,Introduction to Deep Learning,12,Yes,CG,Mitesh Khapra,DA5000/CS6015
ED2012,E ,Manufacturing Processes,6,No,,BALAKRISHNA RAO,Nil
ED2012,E ,Manufacturing Processes,6,Yes,SI,BALAKRISHNA RAO,Nil
ED2012*,E ,Manufacturing Processes,9,No,,BALAKRISHNA RAO,
ED5011,E ,Energy Storage Devices and Systems,9,Yes,SI,Jayaganthan,
ED5235,E ,Power Electronics and Motor Drives for Electrified Vehicles,9,Yes,SI,DEEPAK RONANKI; KANNAN LAKSHMINARAYAN,"ED2130, EE2015"
EE1100,E ,Basic Electrical Engineering,10,No,,Anbarasu Manivannan; BIJOY KRISHNA DAS; GIRIDHAR K; HARISHANKAR RAMACHANDRAN; Jayaraj; KALYAN KUMAR B; KRISHNA S; MAHESH KUMAR; PUDURU VISWANADHA REDDY; SWARUP K S; VINITA VASUDEVAN,
EE1101,E ,Signals and Systems,10,No,,ANDREW THANGARAJ; Bhaswar Chakrabarti; LAKSHMI NARASIMHAN THEAGARAJAN; PRADEEP SARVEPALLI,
EE2019,E ,Analog Systems and Lab,17,No,,ANIRUDDHAN S; Saurabh Saxena,"EE2015, EE1101"
EE2025,E ,Engineering Electromagnetics,10,No,,BIJOY KRISHNA DAS; DEEPA VENKITESH; SHANTI BHATTACHARYA; SUDHARSANAN SRINIVASAN; Uday,
EE3002,E ,Analog Circuits,10,Yes,ST,SHANTHI PAVAN,
EE3003,E ,Power Systems,10,Yes,ST,KALYAN KUMAR B; KRISHNA S,
EE4502,E ,Optics for Engineers,12,Yes,ST,SHANTI BHATTACHARYA,
EE5143,E ,Information Theory,9,Yes,ST,SRIKRISHNA B,
EE5151,E ,Communication Techniques,12,Yes,ST,BHASKAR RAMAMURTHI,Digital Communications (to be done concurrently is also OK)
EE5260,E ,Power Quality,9,Yes,ST,MAHESH KUMAR,
EE5262,E ,Distributed Generation and Microgrid Systems,9,Yes,ST,MAHESH KUMAR,B. Tech./DD with power electronics (EE3203)
EE5310,E ,Analog Electronic circuits,12,No,,ANIRUDDHAN S; Saurabh Saxena,
EE5333,E ,Introduction to Physical Design Automation,12,Yes,ST,S RAMPRASATH,
EE5401,E ,Measurements and Instrumentation,12,No,,JAGADEESH KUMAR V; MOHANASANKAR S,
EE5500,E ,Introduction to Photonics,9,No,,BALAJI SRINIVASAN,
EE5502,E ,Optical Engineering,12,No,,SHANTI BHATTACHARYA,UG Electromagnetics course
EE6010,E ,Smart Power Grids,9,No,,SWARUP K S,EE 5122 Computer Methods in Power Sysems
EE6403,E ,Transducers,12,No,,JAGADEESH KUMAR V,
EE6501,E ,Optical Sensors,9,Yes,ST,BALAJI SRINIVASAN,
EP2100,E ,Introduction to Engineering Optics,9,Yes,SI,GANESAN A R; S.Sivaramakrishnan,
EP3200,E ,Photonics,10,Yes,ST,BALAJI SRINIVASAN,"PH1020,EE2025"
HS3013,E ,Human Rights and Justice,10,Yes,SI,SONIKA GUPTA; TABRAZ  S S,
HS3031,E ,Technology and Public Policy,9,Yes,SI,RAJESH KUMAR,
HS3160,E ,Philosophy of Development,12,Yes,SI,SUDARSAN P,
HS3230,E ,History of English Language & Literature,10,Yes,SI,JYOTIRMAYA TRIPATHY,
HS3240,E ,Shakespeare,10,Yes,SI,HEMACHANDRAN KARAH,
HS4007,E ,Computational Economics and Public Policy,9,Yes,SI,MURALEEDHARAN V R; RAJESH KUMAR,Exposure to social sciences and elementary computing science (desirable)
HS5501,E ,Indian Social Structure and Development,10,Yes,SI,THANGGOULEN KIPGEN,
HS5601,E ,Historicizing Literature,10,Yes,SI,MERIN SIMI RAJ,
HS5680,E ,Contemporary Literary Theory,10,Yes,SI,Avishek Parui,
HS5701,E ,Microeconomics 1,10,Yes,SI,Anup Kumar Bhandari,Nil
HS5701,E ,Microeconomics 1,10,Yes,ST,SWETA SEN,Nil
HS7200,E ,Regional Indian Literatures in Translation,12,Yes,SI,A Divya,
ID5500,E ,Battery Technology,9,Yes,SI,RAMANATHAN S,
ID6070,E ,Mechanics of Viscoelastic Materials,9,Yes,CG,PARAG RAVINDRAN,COT
ID6107,E ,"Perturbation Methods for Engineering Problems
",9,Yes,CG,MANOJ PANDEY,
MA5018,E ,Stochastic Calculus for Finance,9,Yes,SI,BARUN SARKAR,Probability Theory
MA5310,E ,Linear Algebra,9,Yes,SI,BALAJI R; PROSENJIT ROY,
MA5360,E ,Complex Analysis,9,Yes,SI,SRIRAM B,
MA5890,E ,Numerical Linear Algebra,9,Yes,SI,SIVAKUMAR K C; Sivaram Ambikasaran,Linear Algebra at undergraduate level
MA5950,E ,Mathematical Finance,9,Yes,SI,BARUN SARKAR,MA2040
MA6005,E ,Applied Linear Algebra,9,Yes,SI,BALAJI R,MA5310 Linear Algebra
MA6490,E ,Introduction to Algebraic Number Theory,9,Yes,SI,ANUJ JAKHAR,MA 5430
MA7850,E ,Advanced Differential Equations,12,No,,SRINIVASA RAO C H,
MA7890,E ,Advanced Algebraic Topology,12,No,,Ramesh Kasilingam,"Basic general topology, group and ring theory"
MD1002,E ,Hierarchical Structure of the Human Body,9,Yes,SI,SUNIL KUMAR BODA,
MD2003,E ,Fluid Mechanics for Physiology,9,Yes,SI,SRIKANTH VEDANTAM,
MD3001,E ,Quantitative Human Physiology,9,No,,KRISHNAKUMAR R,
MD4003,E ,Introduction to Surgery and Surgical Devices,9,Yes,SI,KRISHNAKUMAR R,
ME2200,E ,Materials and Design,10,Yes,CG,RATNA KUMAR ANNABATTULA; RAUSHAN SINGH; VIMAL EDACHERY,
ME5041,E ,Data Science for Mechanical Engineers,10,No,,CHAKRAVARTHY BALAJI; NARASIMHAN SWAMINATHAN,
ME5131,E ,Nanoscale Thermofluidics: Theory and Computation,9,Yes,CG,SREE HARI PERUMANATH DHARMAPALAN,Basic programming skills (preferably in C++)
ME5162,E ,Introduction to Nanofluidics in Nanopores and Nanochannels,9,Yes,CG,VISHAL NANDIGANA,
ME5228,E ,Engineering Acoustics,9,Yes,CG,CHANDRAMOULI P,Consent of Teacher
ME6120,E ,Flow and Thermal Instabilities,9,Yes,CG,SHALIGRAM TIWARI; SHYAMA PRASAD DAS,COT
ME6123,E ,Cavitation,9,Yes,CG,DHIMAN CHATTERJEE,COT
ME6133,E ,Convective Heat Transfer,9,Yes,CG,ARVIND PATTAMATTA,COT
ME6223,E ,Design for Manufacture and Assembly,9,Yes,CG,RAGHU PRAKASH V,COT
ME6333,E ,Machining Science & Technology,9,Yes,CG,AMITAVA GHOSH,
ME7122,E ,Droplet and Spray Dynamics,9,Yes,CG,SHAMIT BAKSHI,COT
MM3090,E ,Environmental Degradation of Materials,12,No,,LAKSHMAN NEELAKANTAN; PARASURAMAN SWAMINATHAN,Nil
MM3200,E ,Surface Modifications,9,Yes,CG,SRINIVASA RAO BAKSHI,
MM5017,E ,Electronic materials and devices,9,Yes,CG,PARASURAMAN SWAMINATHAN,COT
MM5041,E ,Medical Materials,9,No,,SAMPATHKUMAR T S,Project on biomaterials for final year UG students
MM5050,E ,Thermodynamics and Kinetics,9,No,,SURENDRA BABU ANANTHARAMAN,COT
MM5160,E ,Mechanical Behaviour of Materials,9,No,,SANKARAN S,NIL
MM6020,E ,Fatigue of Materials,9,Yes,CG,GANESH SUNDARA RAMAN,Nil
MS3520,E ,Operations Management I,9,Yes,SI,SRINIVASAN G,
MS3530,E ,Advanced Operations Research,9,Yes,SI,USHA MOHAN,
MS3610,E ,Introduction to Financial Management,9,Yes,SI,MADHUMATHI R; THILLAI RAJAN A,
MS5014,E ,Managerial Economics,9,No,,THENMOZHI M,
MS5020,E ,Organizational Behaviour,9,No,,RUPASHREE BARAL,NIL
MS6621,E ,Corporate Finance,12,No,,KRISHNA PRASANA P; MADHUMATHI R,
OE2054,E ,Ocean Wave Hydrodynamics,10,Yes,SI,SRIRAM V,
OE3190,E ,Design of Ocean Structures,9,Yes,SI,SANNASIRAJ S A,Core Course
OE4300,E ,Ocean Energy,9,Yes,SI,POGULURI SUNNY KUMAR,
OE5300,E ,Advanced Dynamics of Floating Bodies,9,Yes,SI,PANNEER SELVAM R,Nil
OE5310,E ,Guidance & Control of Marine Vehicles,9,Yes,SI,SURESH,B.Tech/DD /M.Tech/MS/PhD in Naval Architecture & O
OE5450,E ,Numerical Techniques in Ocean Hydrodynamics,10,Yes,SI,MURALI K,Nil
OE5510,E ,Machine Learning for Ocean Engineers,9,Yes,SI,Abhilash,OE2054 or OE5030
OE5540,E ,Conceptual design of marine structures,9,Yes,SI,NALLAYARASU S,
OE6004,E ,Numerical Modelling of Offshore Structures,9,Yes,SI,DEEPAK KUMAR,
PE5010,E ,Petroleum Geomechanics ,10,No,,RAJESH R NAIR,Consent of teacher
PH1080,E ,Thermodynamics and Kinetic Theory,10,Yes,SI,PRASANTA KUMAR TRIPATHY; SURESH GOVINDARAJAN,
PH5170,E ,Quantum Mechanics II,9,Yes,SI,SUNETHRA RAMANAN,PH5100: Quantum Mechanics I
PH5211,E ,High Energy Physics,9,No,,PRAFULLA KUMAR BEHERA,
PH5211,E ,High Energy Physics,9,Yes,SI,RAGHUVEER GARANI RAMESH,
PH5500,E ,Dynamical Systems,9,Yes,SI,ARUL LAKSHMINARAYAN,
PH5600,E ,Physics At Low Temperatures,9,Yes,SI,SETHUPATHI K,NIL
PH5840,E ,Quantum Computation and Quantum Information,9,Yes,SI,Prabha Mandayam,
PH5890,E ,Ultrafast lasers and Applications ,9,Yes,SI,S.Sivaramakrishnan,COT
PH6022,E ,Introduction to Nanoscience,9,No,,BASUDEV ROY,Nil
PH6022,E ,Introduction to Nanoscience,9,Yes,SI,SOMNATH CHANDA ROY,Nil
DA1300,E1,Programming and Data Structures,9,No,,KARTHIK RAMAN,
DA1300,E1,Programming and Data Structures,9,Yes,CG,KARTHIK RAMAN,
ME1100,E1,Thermodynamics,10,Yes,CG,KAMESWARARAO ANUPINDI; SARITKUMAR DAS; SHALIGRAM TIWARI,Nil
MM1004,E1,Introduction to Mathematical Computing ,6,No,,Sreeram K. Kalpathy,
AM5016,F ,Numerical methods in Biomedical Engineering,9,Yes,ST,SAUMENDRA KUMAR BAJPAI,
AM5570,F ,Introduction to Turbulence,9,Yes,SI,Vagesh D Narasimhamurthy,
AM5850,F ,Advanced Finite Element Methods,9,Yes,SI,LAKSHMANA RAO C,AM5450 or any other equivalent basic course on FEA with COT
AM6011,F ,Theory of Free Surface Wave motion,9,Yes,SI,ABHIJIT CHAUDHURI,COT
AM6016,F ,Convective Transport Processes,9,Yes,SI,PRASAD PATNAIK B S V,
AM6110,F ,Biofluid Mechanics,9,Yes,SI,PRASAD PATNAIK B S V,
AM6550,F ,Advanced Gas Dynamics,9,Yes,ST,SARITH P SATHIAN,"Fluid Mechanics, Thermodynamics"
AS1020,F ,Fluid Mechanics,11,Yes,CG,SUNETRA  SARKAR,
AS1020*,F ,Fluid Mechanics,11,Yes,CG,SANTANU GHOSH,
AS2010*,F ,Basic Strength of Materials,11,Yes,CG,DAVID KUMAR,
AS2030,F ,Gas Dynamics,11,Yes,CG,SHANKAR GHOSH,
AS5435,F ,Waves in Fluids,9,Yes,CG,Manikandan M S,AS5010 or AS5011 or AS1020 or equivalent
AS5545,F ,Dynamics and Control of Spacecraft,9,Yes,CG,LUOYI TAO,
